Date,Close/Last,Volume,Open,High,Low
06/27/2025,548.09,57577150,547.26,549.99,544.545
06/26/2025,546.22,43811430,543.35,546.67,541.52
06/25/2025,541.16,44804170,542.06,543.31,539.38
06/24/2025,539.78,45441980,536.89,540.70,536.27
06/23/2025,531.65,50666150,526.81,532.17,523.65
06/20/2025,526.83,61643520,532.26,533.56,524.88
06/18/2025,528.99,43983520,530.10,532.55,527.40
06/17/2025,529.08,42180870,531.71,533.325,527.91
06/16/2025,534.29,37622050,530.50,535.37,530.45
06/13/2025,526.96,55814440,527.68,531.87,525.73
06/12/2025,533.66,34104890,531.09,534.6438,530.84
06/11/2025,532.41,53701030,535.62,536.78,530.11
06/10/2025,534.21,40664800,531.17,534.90,528.89
06/09/2025,530.70,33688670,530.14,532.35,529.01
06/06/2025,529.92,42467020,530.00,531.80,528.21
06/05/2025,524.79,61286620,530.18,533.05,522.66
06/04/2025,528.77,41359320,528.01,529.84,525.9694
06/03/2025,527.30,44070330,523.56,528.74,522.69
06/02/2025,523.21,44762820,517.24,523.45,515.97
05/30/2025,519.11,67662840,519.44,520.68,511.93
05/29/2025,519.93,58724070,526.33,526.48,517.32
05/28/2025,518.91,46637180,522.18,523.68,518.39
05/27/2025,521.22,47226320,516.15,521.71,514.59
05/23/2025,509.24,58368080,506.18,511.84,505.58
05/22/2025,514.00,55607170,513.66,517.71,512.30
05/21/2025,513.04,71292830,516.27,523.00,511.24
05/20/2025,520.27,42517560,519.47,520.93,516.66
05/19/2025,522.01,52536150,514.24,522.53,514.24
05/16/2025,521.51,48394600,520.66,521.70,517.10
05/15/2025,519.25,50153280,516.52,521.93,515.17
05/14/2025,518.68,47014520,516.77,519.2279,515.75
05/13/2025,515.59,53269570,509.16,517.39,508.42
05/12/2025,507.85,45090620,506.99,507.89,501.48
05/09/2025,487.97,27767420,490.21,491.54,486.195
05/08/2025,488.29,39577590,488.53,492.70,484.17
05/07/2025,483.30,38109860,482.08,485.80,476.782
05/06/2025,481.41,32786310,479.56,485.05,478.19
05/05/2025,485.93,28309490,484.60,489.03,484.10
05/02/2025,488.83,39218080,486.54,490.91,484.83
05/01/2025,481.68,43316540,483.41,487.18,480.74
04/30/2025,475.47,46810610,467.13,477.20,462.43
04/29/2025,475.53,30613120,470.17,476.4243,469.59
04/28/2025,472.41,33550780,473.03,474.808,466.03
04/25/2025,472.56,38697060,466.97,473.09,465.39
04/24/2025,467.35,45956140,456.48,467.66,455.83
04/23/2025,454.56,55801140,458.17,463.38,452.88
04/22/2025,444.48,52304390,438.82,447.58,437.62
04/21/2025,433.11,44149310,438.23,439.08,427.93
04/17/2025,444.10,44837050,447.17,447.75,441.36
04/16/2025,444.18,48980550,449.03,452.62,437.76
04/15/2025,457.99,35404210,458.54,462.38,456.15
04/14/2025,457.48,43941180,464.46,465.05,452.63
04/11/2025,454.40,52483780,444.65,455.79,441.33
04/10/2025,446.18,108384100,453.56,455.59,432.63
04/09/2025,466.00,142876900,415.57,467.83,415.43
04/08/2025,416.06,101248100,438.16,443.1384,409.79
04/07/2025,423.69,161557000,408.66,443.14,402.39
04/04/2025,422.67,117088400,438.14,440.37,422.67
04/03/2025,450.66,70456340,456.44,460.07,450.14
04/02/2025,476.15,49894490,466.12,479.56,465.86
04/01/2025,472.70,41156230,467.30,473.63,464.42
03/31/2025,468.92,53000300,461.92,469.86,457.33
03/28/2025,468.94,46363800,479.81,480.52,468.05
03/27/2025,481.62,33469820,482.41,486.5799,480.25
03/26/2025,484.38,35043360,492.30,493.16,482.82
03/25/2025,493.46,26035240,491.39,493.62,490.42
03/24/2025,490.66,34567190,487.74,491.51,484.40
03/21/2025,480.84,42234870,474.08,481.61,472.905
03/20/2025,479.26,36780550,476.88,484.55,476.18
03/19/2025,480.89,40430330,476.81,485.33,474.87
03/18/2025,474.54,39072270,479.41,479.61,472.41
03/17/2025,482.77,41744350,479.61,485.84,477.80
03/14/2025,479.66,43563010,473.73,480.56,473.12
03/13/2025,468.34,46563350,476.25,476.2801,466.43
03/12/2025,476.92,46971080,479.16,481.06,471.79
03/11/2025,471.60,68760770,472.35,478.805,467.01
03/10/2025,472.73,76668030,483.45,483.97,468.66
03/07/2025,491.79,54714730,487.16,493.28,480.53
03/06/2025,488.20,57574330,493.69,498.58,486.20
03/05/2025,502.01,46323730,496.20,503.63,491.26
03/04/2025,495.55,67875400,494.18,503.74,487.735
03/03/2025,497.05,44587200,511.52,513.04,493.58
02/28/2025,508.17,47654040,500.13,508.78,496.93
02/27/2025,500.27,52447970,518.13,519.0699,500.05
02/26/2025,514.56,34457620,515.53,519.66,511.37
02/25/2025,513.32,48940030,519.24,519.32,509.44
02/24/2025,519.87,39268390,527.88,529.069,519.53
02/21/2025,526.08,47093750,538.38,538.40,525.71
02/20/2025,537.23,26550750,538.73,539.10,532.46
02/19/2025,539.52,19666860,538.57,540.81,536.46
02/18/2025,539.37,20565030,539.73,540.00,536.04
02/14/2025,538.15,17862570,536.005,538.84,535.67
02/13/2025,535.90,28714800,529.98,536.22,529.19
02/12/2025,528.30,25009360,522.30,529.19,521.95
02/11/2025,527.99,19325500,525.96,529.92,525.83
02/10/2025,529.25,20852780,527.22,530.3571,526.75
02/07/2025,522.92,29605470,530.14,532.10,522.19
02/06/2025,529.60,19434450,527.36,529.81,525.7413
02/05/2025,526.85,21134070,521.82,527.01,520.62
